company_name,cif,external_id,country,cnae_code,year,revenue,ebitda,net_income,total_assets,equity,cash_and_equivalents,financial_debt_st,financial_debt_lt,employees
Ingeniería Verde,A91968323,ES046,España,7022,2021,7000000,1820000,1100000,5500000,2500000,1700000,180000,550000,44
Ingeniería Verde,A91968323,ES046,España,7022,2022,8000000,2160000,1350000,6200000,2900000,2000000,150000,500000,48
Ingeniería Verde,A91968323,ES046,España,7022,2023,9500000,2660000,1700000,7000000,3400000,2400000,120000,450000,54
Plataforma Digital Sur,H80995340,ES047,España,6201,2019,1000000,-200000,-400000,800000,200000,150000,80000,250000,12
Plataforma Digital Sur,H80995340,ES047,España,6201,2020,1500000,-75000,-250000,900000,250000,200000,60000,220000,15
Plataforma Digital Sur,H80995340,ES047,España,6201,2021,2200000,220000,50000,1200000,400000,300000,50000,180000,20
Plataforma Digital Sur,H80995340,ES047,España,6201,2022,3500000,595000,300000,1800000,650000,500000,40000,150000,26
Plataforma Digital Sur,H80995340,ES047,España,6201,2023,5000000,1000000,550000,2500000,1000000,750000,30000,120000,33
Gran Superficie Castellana,G25015594,ES048,España,4711,2019,500000000,30000000,17000000,350000000,120000000,40000000,15000000,60000000,2800
Gran Superficie Castellana,G25015594,ES048,España,4711,2020,480000000,33600000,19000000,355000000,125000000,42000000,14000000,58000000,2850
Gran Superficie Castellana,G25015594,ES048,España,4711,2021,510000000,38250000,22000000,370000000,132000000,45000000,13000000,55000000,2900
Gran Superficie Castellana,G25015594,ES048,España,4711,2022,540000000,43200000,26000000,385000000,142000000,48000000,12000000,52000000,2950
Gran Superficie Castellana,G25015594,ES048,España,4711,2023,565000000,48025000,29000000,400000000,155000000,52000000,11000000,49000000,3000
Clínica Veterinaria Paws,J84180579,ES049,España,8621,2019,1800000,270000,100000,1500000,600000,300000,80000,300000,15
Clínica Veterinaria Paws,J84180579,ES049,España,8621,2020,1600000,192000,50000,1400000,550000,260000,100000,350000,14
Clínica Veterinaria Paws,J84180579,ES049,España,8621,2021,2000000,340000,150000,1600000,650000,350000,70000,280000,16
Clínica Veterinaria Paws,J84180579,ES049,España,8621,2022,2300000,414000,220000,1800000,780000,400000,60000,250000,18
Clínica Veterinaria Paws,J84180579,ES049,España,8621,2023,2600000,494000,280000,2000000,900000,480000,50000,220000,20
Constructora Vasca,A88926409,ES050,España,4110,2019,90000000,9000000,4500000,110000000,35000000,8000000,7000000,25000000,380
Constructora Vasca,A88926409,ES050,España,4110,2020,75000000,5250000,1500000,105000000,30000000,6000000,8000000,28000000,350
Constructora Vasca,A88926409,ES050,España,4110,2021,85000000,7650000,3500000,108000000,33000000,7000000,7500000,26000000,370
Constructora Vasca,A88926409,ES050,España,4110,2022,95000000,10450000,5500000,115000000,37000000,9000000,6500000,24000000,390
Constructora Vasca,A88926409,ES050,España,4110,2023,105000000,12600000,7000000,120000000,42000000,10000000,6000000,22000000,410
Bioenergía del Sur,V34552354,ES051,España,3511,2019,10000000,2500000,1500000,15000000,5500000,2000000,800000,4000000,30
Bioenergía del Sur,V34552354,ES051,España,3511,2020,10500000,2730000,1650000,15500000,5800000,2200000,750000,3800000,32
Bioenergía del Sur,V34552354,ES051,España,3511,2021,12000000,3240000,2000000,17000000,6500000,2500000,700000,3500000,35
Bioenergía del Sur,V34552354,ES051,España,3511,2022,14000000,3920000,2500000,19000000,7500000,3000000,600000,3200000,38
Bioenergía del Sur,V34552354,ES051,España,3511,2023,16000000,4640000,3000000,21000000,8800000,3500000,500000,2800000,42
Audit Consulting Group,V88478496,ES052,España,7022,2019,18000000,4500000,2800000,14000000,6500000,4500000,400000,1500000,95
Audit Consulting Group,V88478496,ES052,España,7022,2020,16500000,3795000,2300000,13000000,6000000,4000000,450000,1700000,90
Audit Consulting Group,V88478496,ES052,España,7022,2021,20000000,5200000,3200000,15000000,7200000,5000000,380000,1400000,100
Audit Consulting Group,V88478496,ES052,España,7022,2022,22000000,5940000,3800000,16500000,8000000,5500000,350000,1200000,108
Audit Consulting Group,V88478496,ES052,España,7022,2023,25000000,7000000,4500000,18500000,9500000,6200000,300000,1000000,118
Minimarket Rápido,L70809245,ES053,España,4711,2019,3000000,120000,30000,2500000,800000,400000,200000,600000,25
Minimarket Rápido,L70809245,ES053,España,4711,2020,2800000,84000,-20000,2400000,750000,350000,220000,650000,24
Minimarket Rápido,L70809245,ES053,España,4711,2021,3200000,160000,50000,2600000,850000,420000,180000,580000,26
Minimarket Rápido,L70809245,ES053,España,4711,2022,3500000,210000,80000,2800000,920000,460000,160000,550000,28
Minimarket Rápido,L70809245,ES053,España,4711,2023,3800000,266000,110000,3000000,1000000,500000,150000,520000,30
Infraestructuras Catalanas,R94164982,ES054,España,4110,2019,140000000,12600000,6000000,170000000,50000000,12000000,10000000,40000000,500
Infraestructuras Catalanas,R94164982,ES054,España,4110,2020,120000000,7200000,1500000,165000000,45000000,10000000,11000000,43000000,470
Infraestructuras Catalanas,R94164982,ES054,España,4110,2021,135000000,10800000,5000000,168000000,48000000,11000000,10500000,41000000,490
Infraestructuras Catalanas,R94164982,ES054,España,4110,2022,150000000,15000000,8000000,175000000,53000000,13000000,9500000,38000000,510
Infraestructuras Catalanas,R94164982,ES054,España,4110,2023,165000000,18150000,10000000,185000000,58000000,15000000,9000000,36000000,530
Asesores Financieros del Norte,L09608111,ES055,España,7022,2019,4200000,1050000,620000,3500000,1500000,1100000,120000,400000,30
Asesores Financieros del Norte,L09608111,ES055,España,7022,2020,3800000,874000,480000,3200000,1350000,950000,150000,450000,28
Asesores Financieros del Norte,L09608111,ES055,España,7022,2021,4500000,1170000,700000,3800000,1650000,1200000,100000,380000,32
Asesores Financieros del Norte,L09608111,ES055,España,7022,2022,5200000,1404000,850000,4200000,1900000,1400000,90000,350000,36
Asesores Financieros del Norte,L09608111,ES055,España,7022,2023,6000000,1680000,1050000,4800000,2200000,1650000,80000,300000,40
Comestibles La Mancha,B29774569,ES056,España,4619,2019,18000000,2160000,1000000,15000000,5500000,2000000,1200000,4000000,70
Comestibles La Mancha,B29774569,ES056,España,4619,2020,16500000,1650000,600000,14500000,5000000,1800000,1400000,4200000,67
Comestibles La Mancha,B29774569,ES056,España,4619,2021,19000000,2470000,1200000,16000000,5800000,2200000,1100000,3800000,73
Comestibles La Mancha,B29774569,ES056,España,4619,2022,21000000,2940000,1500000,17000000,6500000,2500000,1000000,3500000,78
Comestibles La Mancha,B29774569,ES056,España,4619,2023,23000000,3450000,1900000,18500000,7200000,2800000,900000,3200000,82
Spa y Bienestar Premium,U74045696,ES057,España,8621,2019,6000000,1200000,700000,5000000,2200000,1000000,400000,1200000,45
Spa y Bienestar Premium,U74045696,ES057,España,8621,2020,3500000,175000,-200000,4800000,1800000,700000,500000,1400000,38
Spa y Bienestar Premium,U74045696,ES057,España,8621,2021,5500000,880000,400000,5200000,2100000,950000,380000,1100000,42
Spa y Bienestar Premium,U74045696,ES057,España,8621,2022,7000000,1540000,900000,5800000,2600000,1200000,320000,1000000,50
Spa y Bienestar Premium,U74045696,ES057,España,8621,2023,8000000,1840000,1100000,6500000,3000000,1400000,280000,900000,55
Apartamentos Turísticos Costa,U09128652,ES058,España,5510,2019,10000000,2000000,1100000,15000000,5000000,2000000,1000000,4000000,65
Apartamentos Turísticos Costa,U09128652,ES058,España,5510,2020,4000000,-800000,-2000000,14000000,3000000,1000000,1500000,5000000,45
Apartamentos Turísticos Costa,U09128652,ES058,España,5510,2021,7000000,700000,-500000,13500000,3200000,1200000,1300000,4500000,55
Apartamentos Turísticos Costa,U09128652,ES058,España,5510,2022,11000000,2200000,1200000,14500000,5200000,2200000,1100000,4000000,68
Apartamentos Turísticos Costa,U09128652,ES058,España,5510,2023,12500000,2750000,1600000,15500000,5800000,2500000,1000000,3800000,72
Distribuidora Químicos Murcia,F73286112,ES059,España,4619,2019,70000000,8400000,4500000,58000000,20000000,6000000,4000000,14000000,250
Distribuidora Químicos Murcia,F73286112,ES059,España,4619,2020,65000000,6500000,3000000,56000000,18000000,5500000,4500000,15000000,240
Distribuidora Químicos Murcia,F73286112,ES059,España,4619,2021,75000000,9750000,5500000,62000000,22000000,6500000,3800000,13000000,260
Distribuidora Químicos Murcia,F73286112,ES059,España,4619,2022,82000000,11480000,6800000,66000000,25000000,7000000,3500000,12000000,270
Distribuidora Químicos Murcia,F73286112,ES059,España,4619,2023,88000000,13200000,8000000,70000000,28000000,8000000,3200000,11000000,285
App Factory Madrid,R77106998,ES060,España,6201,2021,500000,-150000,-300000,400000,100000,80000,30000,100000,8
App Factory Madrid,R77106998,ES060,España,6201,2022,1200000,120000,-50000,700000,200000,150000,25000,80000,14
App Factory Madrid,R77106998,ES060,España,6201,2023,2500000,500000,200000,1200000,450000,350000,20000,60000,22
ERROR_FILA_TEST,S00000000,,España,4619,2023,-5000000,1000000,500000,3000000,1000000,500000,200000,300000,50
OTRA_ERROR_FILA,S00000000,,España,,2023,abc,1000000,500000,3000000,1000000,500000,200000,300000,50
